year,ndays,param,type,wildfire
2013,2,pm25,advisory,ndays_25_nosmoke
2014,2,pm25,advisory,ndays_25_nosmoke
2015,5,pm25,advisory,ndays_25_nosmoke
2016,4,pm25,advisory,ndays_25_nosmoke
2017,2,pm25,advisory,ndays_25_nosmoke
2018,10,pm25,advisory,ndays_25_nosmoke
2019,8,pm25,advisory,ndays_25_nosmoke
2020,2,pm25,advisory,ndays_25_nosmoke
2021,7,pm25,advisory,ndays_25_nosmoke
2022,7,pm25,advisory,ndays_25_nosmoke
2023,1,pm25,advisory,ndays_25_nosmoke
2024,6,pm25,advisory,ndays_25_nosmoke
2013,8,pm10,advisory,ndays_25_nosmoke
2014,3,pm10,advisory,ndays_25_nosmoke
2015,0,pm10,advisory,ndays_25_nosmoke
2016,6,pm10,advisory,ndays_25_nosmoke
2017,2,pm10,advisory,ndays_25_nosmoke
2018,5,pm10,advisory,ndays_25_nosmoke
2019,11,pm10,advisory,ndays_25_nosmoke
2020,1,pm10,advisory,ndays_25_nosmoke
2021,1,pm10,advisory,ndays_25_nosmoke
2022,2,pm10,advisory,ndays_25_nosmoke
2023,13,pm10,advisory,ndays_25_nosmoke
2024,10,pm10,advisory,ndays_25_nosmoke
2013,0,pm25,ssb,ndays_25
2014,12,pm25,ssb,ndays_25
2015,0,pm25,ssb,ndays_25
2016,0,pm25,ssb,ndays_25
2017,47,pm25,ssb,ndays_25
2018,51,pm25,ssb,ndays_25
2019,4,pm25,ssb,ndays_25
2020,6,pm25,ssb,ndays_25
2021,16,pm25,ssb,ndays_25
2022,3,pm25,ssb,ndays_25
2023,34,pm25,ssb,ndays_25
2024,10,pm25,ssb,ndays_25
